label1,label2,constellation,magnitude,season,size,RA,DEC,type,notes
UGC 209,NGC 93,ANDROMEDA,13.3,autumn,1.4,00 22.1,+22 25,Galaxy - ,,,vF;vS,Part of NGC 80 group 
ZwG 479. 17 ,NGC 94,ANDROMEDA,15.5,autumn,0.4,00 22.2,+22 29,Galaxy - ,,,eF;vS,Northern of 2 
MCG 4- 2- 14,NGC 96,ANDROMEDA,17,autumn,0.7,00 22.3,+22 33,Galaxy - ,,,vF;S;vlbM , 
UGC 216,NGC 97,ANDROMEDA,12.3,autumn,1.5,00 22.5,+29 45,Galaxy - ,,,F;vS;R;gbM,Compact 
UGC 246,NGC 108,ANDROMEDA,12.1,autumn,2,00 26.0,+29 13,Galaxy - ,,,pF;pL;R;pslbM ,H III 148 
UGC 251,NGC 109,ANDROMEDA,13.7,autumn,1.1,00 26.2,+21 48,Galaxy - ,,,vF;S;3 st nr ,f of 2 
UGC 255,NGC 112,ANDROMEDA,13.5,autumn,1,00 26.8,+31 42,Galaxy - ,,,eF;vS;R , 
UGC 311,NGC 140,ANDROMEDA,13.2,autumn,1.5,00 31.3,+30 47,Galaxy - ,,,vF;S;R;gbM, 
UGC 332,NGC 149,ANDROMEDA,13.7,autumn,1.2,00 33.8,+30 43,Galaxy - ,,,vF;vS;R;gbM*14;*12 sp,Compact 
PGC 2121,AND III,ANDROMEDA,15,autumn,2.0,00 35.4,+36 31,Galaxy - ,,,,Andromeda Dwarf;Member Local Group 
UGC 356,NGC 160,ANDROMEDA,12.6,autumn,2.9,00 36.1,+23 57,Galaxy - ,,,vF;vS;stell;*8;17 degrees;4' ,H III 476;UGC 356 
 ,NGC 162,ANDROMEDA,99.9,autumn,,00 36.2,+23 58,1 Star - ,,,eF;stellar;NGC 160 sp, 
UGC 365;Arp 282 ,NGC 169,ANDROMEDA,13.2,autumn,1.8,00 36.9,+23 59,Galaxy - ,,,F;pL;D or biN;*6 nf 4' ,Contact P w IC 1559 
MCG 5- 2- 32,NGC 181,ANDROMEDA,15.5,autumn,0.7,00 38.4,+29 28,Galaxy - ,,,eF;eS;irr;vFatt , 
UGC 387,NGC 183,ANDROMEDA,12.7,autumn,2.1,00 38.5,+29 31,Galaxy - ,,,pF;vS;R;gbM, 
ZwG 500. 59 ,NGC 184,ANDROMEDA,14.6,autumn,0.7,00 38.6,+29 27,Galaxy - ,,,eF;eS, 
M 110 ,NGC 205,ANDROMEDA,8.1,autumn,19.5,00 40.4,+41 41,Galaxy - ,, HM,vB;vL;mE 165 degrees;vgvmbM ,M31 Companion;UGC 426;H V 18; Member Local Group 
 ,NGC 206,ANDROMEDA,12.8,autumn,1.8,00 40.5,+40 44,Gal. Cl. Nebula - ,,,vF;vL;mE 0 degrees ,H V 36;A star cloud in the south end of Andromeda Galaxy 
