IC0070,,Cetus,12.29,,0.483735465,1.066666667,0.05075,Galaxy,
IC0071,,Cetus,0,,0,1.316666667,-6.767166667,*,ID as IC 0071 is not certain
IC0072,,Cetus,0,,0,1.583333333,-6.777944444,*,
IC0073,,Pisces,12.43,,0.784091831,4.883333333,4.767138889,Galaxy,
IC0074,,Pisces,11.5,,0.732461603,5.933333333,4.09025,Galaxy,
IC0075,,Pisces,11.24,,0.834086326,7.2,10.83688889,Galaxy,
IC0076,,Cetus,10.87,,0.886397202,8.2,-4.5545,Galaxy,
IC0077,,Cetus,11.75,,0.681175455,8.733333333,-15.42091667,Galaxy,
IC0078,,Cetus,10.08,,1.903943276,8.8,-15.84508333,Galaxy,
IC0079,,Cetus,10.29,,1.538083223,8.833333333,-15.94858333,Galaxy,
IC0080,,Cetus,0,,1.2,8.85,-15.4075,2x Galaxies,Consists of the galaxies MCG -03-04-008 and -009.
IC0080 NED01,,Cetus,14.83,,1.819587865,8.85,-15.40894444,Galaxy,
IC0080 NED02,,Cetus,10.27,,1.836736236,8.85,-15.40630556,Galaxy,
IC0081,,Cetus,10.44,,1.482228053,9.366666667,-1.695861111,Galaxy,
IC0082,,Cetus,10.7,,1.231665539,9.1,-16.00030556,Galaxy,
IC0083,,Cetus,11.3,,0.815414005,10.5,1.689361111,Galaxy,
IC0084,,Cetus,11.07,,0.796115569,11.43333333,1.640194444,Galaxy,
IC0085,,Cetus,0,,0,11.83333333,-0.452472222,*,
IC0086,,Cetus,11.26,,0.796241169,13.48333333,-16.24166667,Galaxy,
IC0087,,Cetus,11.76,,0.93434469,14.26666667,0.765333333,Galaxy,
IC0088,,Cetus,12.09,,0.688839604,14.51666667,0.79175,Galaxy,
IC0089, NGC446,Pisces,0,,0,16.06666667,4.294111111,DELETE,
IC0090,,Cetus,10.12,,1.678362297,16.5,-7.977138889,Galaxy,
IC0091,,Cetus,11.82,,0.756108458,18.65,2.553666667,Galaxy,
IC0092, NGC468,Pisces,0,,0,19.81666667,32.76777778,DELETE,
IC0093,,Cetus,10.85,,1.333304166,19.03333333,-17.06038889,Galaxy,
IC0094,,Pisces,0,,0,20.08333333,32.71733333,*,
IC0095,,Cetus,11.54,,0.788733161,19.3,-12.57413889,Galaxy,
IC0096,,Pisces,12.01,,0.835703297,20.55,29.61725,Galaxy,
IC0097, NGC475,Pisces,0,,0,20.03333333,14.86105556,DELETE,
IC0098,,Cetus,11.14,,0.913509715,20.91666667,-12.60472222,Galaxy,
IC0099,,Cetus,11.59,,0.778973684,22.45,-12.95255556,Galaxy,
IC0100,,Cetus,10.24,,1.294024729,22.9,-4.643027778,Galaxy,
IC0101,,Pisces,11.78,,1.373207923,24.15,9.930527778,Galaxy,
IC0102,,Pisces,11.68,,0.836301381,24.43333333,9.886555556,Galaxy,
IC0103,,Cetus,10.6,,1.162497312,24.6,2.04425,Galaxy,
IC0104,,Cetus,8.79,,0,24.56666667,-1.456722222,**,
IC0105,,Cetus,11.63,,0.648459713,24.76666667,2.075277778,Galaxy,
IC0106, NGC530,Cetus,0,,0,24.7,-1.587083333,DELETE,
IC0107,,Pisces,9.81,,2.083386666,25.41666667,14.86461111,Galaxy,
IC0108,,Cetus,11.14,,1.348925498,24.65,-12.63558333,Galaxy,
IC0109,,Cetus,10.88,,0.95,25.21666667,2.066222222,Galaxy,
IC0110,,Pisces,0,,0,25.78333333,33.51469444,Other,Nominal position. IC 110 may be the stars at 01 23 00
IC0111,,Pisces,0,,0,26,33.49711111,Other,Nominal position. IC 111 may be the stars at 01 23 10
IC0112,,Pisces,11.29,,0.809506022,26.05,11.44297222,Galaxy,
IC0113,,Pisces,11.97,,0.436004587,26.43333333,19.19197222,Galaxy,
IC0114,,Pisces,10.96,,1.507846146,26.38333333,9.909944444,Galaxy,
IC0115,,Pisces,10.84,,1.074802307,26.9,19.21469444,Galaxy,
IC0116,,Cetus,11.9,,1.034649699,26.85,-4.982277778,Galaxy,
IC0117, NGC560,Cetus,0,,0,27.41666667,-1.912972222,DELETE,
IC0118,,Cetus,11.23,,0.906035319,27.6,-4.997472222,Galaxy,
IC0119,,Cetus,10.7,,1.323820229,27.91666667,-2.040472222,Galaxy,
IC0120,,Cetus,11.05,,0.977394496,28.21666667,-1.915527778,Galaxy,
IC0121,,Cetus,10.58,,1.176605286,28.36666667,2.513027778,Galaxy,
IC0122,,Cetus,11.82,,0.724499827,28.21666667,-14.83888889,Galaxy,
IC0123,,Cetus,11.14,,0.818413099,28.85,2.446444444,Galaxy,
IC0124,,Cetus,14.4,,0,29.15,-1.937027778,*,
IC0125,,Cetus,11.49,,0.84864598,29.3,-13.27983333,Galaxy,
IC0126,,Cetus,10.92,,1.203411816,29.8,-1.98375,Galaxy,
IC0127,,Cetus,9.2,,1.748885359,29.8,-6.980055556,Galaxy,
IC0128,,Cetus,12.73,,1.022007828,31.4,-12.62438889,Galaxy,
IC0129,,Cetus,10.64,,1.368539367,31.51666667,-12.65438889,Galaxy,
IC0130,,Cetus,11.31,,0.985951317,31.48333333,-15.59161111,Galaxy,
IC0131,,Triangulum,12.52,,0.3,33.25,30.75325,HII Ions,HII region in Messier 033. The IC object includes the surrounding star cloud.
IC0132,,Triangulum,14.82,,0.866833317,33.26666667,30.94561111,HII Ions,
IC0133,,Triangulum,13.51,,0.636396103,33.25,30.88838889,HII Ions,
IC0134,,Triangulum,13.97,,0,33.41666667,30.90066667,*,Foreground Galactic star superposed on Messier 033.
IC0135,,Triangulum,0,,0.4,34.26666667,30.62008333,HII Ions,HII region in Messier 033.
IC0136,,Triangulum,11.04,,0,34.26666667,30.56205556,*Ass,Stellar association in Messier 033.
IC0137,,Triangulum,0,,0,33.65,30.5225,*Ass,Star cloud in Messier 033.
IC0138,,Cetus,10.98,,1.342385936,33.03333333,-0.689833333,Galaxy,
IC0139,,Triangulum,13.1,,0,33.98333333,30.56744444,*Ass,Star cloud in Messier 033.
IC0140,,Triangulum,0,,0,33.96666667,30.55013889,*Ass,Star cloud in Messier 033.
IC0141,,Cetus,10.99,,1.530032679,32.86666667,-14.81461111,Galaxy,
IC0142,,Triangulum,11.3,,0.5,33.93333333,30.75780556,HII Ions,HII region in Messier 033.
IC0143,,Triangulum,11.4,,0.3,34.18333333,30.77641667,HII Ions,HII region in Messier 033.
IC0144,,Cetus,11,,0.998248466,37.68333333,-13.31466667,Galaxy,
IC0145,,Cetus,11.52,,0.852115016,38.63333333,0.7415,Galaxy,
IC0146, NGC648,Cetus,0,,0,38.66666667,-17.83119444,DELETE,
IC0147,,Cetus,11.45,,0.868331734,40,-14.86263889,Galaxy,
IC0148,,Pisces,13.84,,1.907170679,42.45,13.97702778,Galaxy,
IC0149,,Cetus,10.46,,1.33454112,42.41666667,-16.30041667,Galaxy,
IC0150,,Pisces,11.77,,1.012126474,42.96666667,4.200166667,Galaxy,
IC0151,,Pisces,0,,0,43.95,13.20261111,Other,Nominal position; nothing here.
IC0152,,Pisces,0,,0,44.11666667,13.03586111,Other,Nominal position; the galaxy CGCG 437-016 may be IC 0152.
IC0153,,Pisces,0,,0,44.6,12.62894444,Other,Nominal position; nothing here.
IC0154,,Pisces,10.23,,1.212023102,45.26666667,10.64919444,Galaxy,
IC0155,,Cassiopeia,0,,0,47.53333333,60.61083333,Other,Nominal position; nothing here.
IC0156,,Pisces,10.07,,2.012212712,45.48333333,10.55272222,Galaxy,
IC0157,,Pisces,0,,0,45.7,12.87333333,Other,Nominal position; nothing here.
IC0158,,Cetus,11.26,,0.878009112,45.9,-6.935694444,Galaxy,
IC0159,,Cetus,11.51,,1.544344521,46.41666667,-8.636611111,Galaxy,
IC0160,,Cetus,10.32,,1.542076522,46.5,-13.24772222,Galaxy,
IC0161,,Pisces,10.59,,1.049571341,48.73333333,10.50788889,Galaxy,
IC0162,,Pisces,9.29,,1.83869519,48.88333333,10.52161111,Galaxy,
IC0163,,Aries,10.64,,1.776879287,49.25,20.71130556,Galaxy,
IC0164,,Cetus,9.67,,2.078196333,49.13333333,-3.904388889,Galaxy,
IC0165, NGC684,Triangulum,0,,0,50.23333333,27.64566667,DELETE,
IC0166,,Cassiopeia,11.7,,7.5,52.4,61.85261111,Open Cluster,
