label1,label2,constellation,magnitude,season,size,RA,DEC,type,notes,
NGC3082,ESO 435-18 ,ANTLIA,12.5,spring,1.8,9.981666667,-29.65,Galaxy,vF;S;R;D* att ,
NGC3084,IC 2528 ,ANTLIA,12.3,spring,1.7,9.985,-26.86666667,Galaxy,vF;S;R;*13 att sf ,
NGC3087,ESO 374-15 ,ANTLIA,11.6,spring,2.5,9.985,-33.76666667,Galaxy,pB;S;R;pmbM;bet 2 st,
NGC3089,ESO 435-24 ,ANTLIA,12.4,spring,1.8,9.993333333,-27.66666667,Galaxy,pF;pS;R;vS st inv ,
NGC3095,ESO 435-26 ,ANTLIA,11.7,spring,3.6,10.00166667,-30.45,Galaxy,F;L;E;vgvlbM ,
NGC3100,NGC 3103,ANTLIA,11.1,spring,3.2,10.01166667,-30.33333333,Galaxy,pB;pS;R;gpmbM ,
NGC3103,NGC 3100,ANTLIA,12.1,spring,3.2,10.01166667,-30.33333333,Galaxy,eF;pL;R ,
NGC3108,ESO 435-32 ,ANTLIA,11.8,spring,2.5,10.04166667,-30.31666667,Galaxy,F;S;R;glbM,
IC2537,ESO 499-39 ,ANTLIA,12.1,spring,2.5,10.065,-26.43333333,Galaxy,eF;L;cE ,
NGC3113,ESO 435-35 ,ANTLIA,12.7,spring,3.3,10.07333333,-27.55,Galaxy,eF;L;Tri 2* 8m ,
NGC3120,ESO 374-29 ,ANTLIA,12.8,spring,1.8,10.09,-33.78333333,Galaxy,F;pS;R;gbM,
NGC3125,ESO 435-41 ,ANTLIA,13,spring,1.1,10.11,-28.06666667,Galaxy,cF;S;R;vgbM,
NGC3137,ESO 435-47 ,ANTLIA,11.5,spring,6.2,10.15166667,-28.93333333,Galaxy,vF;S;lE ,
NGC3157,IC 2555 ,ANTLIA,13.2,spring,2.5,10.195,-30.35,Galaxy,vF;pS;E;*8-9 sp,
NGC3173,ESO 500-16 ,ANTLIA,12.8,spring,2.1,10.24333333,-26.3,Galaxy,eF;S;R;2 B st f,
NGC3175,ESO 436-3,ANTLIA,11.2,spring,5.1,10.245,-27.13333333,Galaxy,cB;L;mE 51;vglbM,
NGC3223,IC 2571 ,ANTLIA,11,spring,4.1,10.36,-33.73333333,Galaxy,pB;vL;vlE;pslbMN,
NGC3224,ESO 375-13 ,ANTLIA,12,spring,1.9,10.36166667,-33.3,Galaxy,vF;pS;R;vgmbM ,
NGC3241,ESO 436-16 ,ANTLIA,12.2,spring,2.4,10.405,-31.51666667,Galaxy,F;pmE;glbM;*11 np ,
NGC3244,ESO 317-24 ,ANTLIA,12.3,spring,2.1,10.425,-38.16666667,Galaxy,vF;*11 n 90'' ,
NGC3249,ESO 375-24 ,ANTLIA,13.1,spring,1.6,10.44,-33.03333333,Galaxy,eF;pL;R;vgvlbM ,
NGC3250,ESO 317-26 ,ANTLIA,11.1,spring,2.7,10.44166667,-38.05,Galaxy,pB;pL;R;vgpsbM;*13;45,
NGC3250C,ESO 317-28 ,ANTLIA,13.3,spring,1.7,10.46166667,-40,Galaxy,,
NGC3250A,ESO 317-30 ,ANTLIA,14.8,spring,1.1,10.465,-39.91666667,Galaxy,,
NGC3250D,ESO 317-31 ,ANTLIA,13.3,spring,1.7,10.46666667,-38.18333333,Galaxy,,
NGC3258A,ESO 375-32 ,ANTLIA,13.2,spring,1.1,10.47166667,-34.55,Galaxy,,
NGC3257,ESO 375-36 ,ANTLIA,13.1,spring,1,10.48,-34.33333333,Galaxy,vF;vS;R;psbM;1st of 4,
NGC3258,ESO 375-37 ,ANTLIA,11.5,spring,3.3,10.48166667,-34.4,Galaxy,cF;S;R;pslbM;2nd of 4,
NGC3250E,ESO 317-34 ,ANTLIA,12.5,spring,2.1,10.48333333,-39.91666667,Galaxy,,
NGC3260,ESO 375-40 ,ANTLIA,12.6,spring,1.2,10.485,-34.4,Galaxy,vvF;vS;R;pslbM;3rd of 4 ,
NGC3267,ESO 375-42 ,ANTLIA,12.5,spring,1.7,10.49666667,-34.68333333,Galaxy,eF;vS;R;1st of 4,
NGC3268,ESO 375-45 ,ANTLIA,11.4,spring,4,10.5,-34.66666667,Galaxy,F;S;R;2nd of 4 ,
NGC3269,ESO 375-44 ,ANTLIA,12.2,spring,2.4,10.5,-34.78333333,Galaxy,F;S;R;bM;3rd of 4 ,
