"M36"~"NGC 1960"~"OPNCL"~"Auriga"~"5h 36.1m"~"34°8"~"6.3"~""~""~""~"12"~"Winter"~""
"M41"~"NGC 2287"~"OPNCL"~"Canis_Major"~"6h 47m"~"-20°44"~"4.6"~""~""~""~"38"~"Winter"~""
"M37"~"NGC 2099"~"OPNCL"~"Auriga"~"5h 52.4m"~"32°33"~"6.2"~""~""~""~"24"~"Winter"~""
"M38"~"NGC 1912"~"OPNCL"~"Auriga"~"5h 28.7m"~"35°50"~"7.4"~""~""~""~"21"~"Winter"~""
"M39"~"NGC 7092"~"OPNCL"~"Cygnus"~"21h 32.2m"~"48°26"~"5.2"~""~""~""~"32"~"Autumn"~""
"M42"~"NGC 1976 Great Orion Nebula"~"LMCDN"~"Orion"~"5h 35.4m"~"-5°27"~"4"~""~""~""~"104.0"~"Winter"~""
"M43"~"NGC 1982 de Mairans Nebula"~"LMCDN"~"Orion"~"5h 35.6m"~"-5°16"~"9"~""~""~""~"25.0"~"Winter"~""
"M44"~"NGC 2632 Beehive Cluster (Praesepe)"~"OPNCL"~"Cancer"~"8h 40.1m"~"19°59"~"3.7"~""~""~""~"95"~"Winter"~""
"M45"~"Pleiades Seven Sisters"~"OPNCL"~"Taurus"~"3h 47m"~"24°7.2"~"1.6"~""~""~""~"110"~"Winter"~""
"M46"~"NGC 2437"~"OPNCL"~"Puppis"~"7h 41.8m"~"-14°49"~"6"~""~""~""~"27"~"Winter"~""
"M47"~"NGC 2422"~"OPNCL"~"Puppis"~"7h 36.6m"~"-14°30"~"5.2"~""~""~""~"30"~"Winter"~""
"M48"~"NGC 2548"~"OPNCL"~"Hydra"~"8h 13.8m"~"-5°48"~"5.5"~""~""~""~"54"~"Winter"~""
"M49"~"NGC 4472"~"GALXY"~"Virgo"~"12h 29.8m"~"8°0"~"8.4"~""~""~""~"11.7"~"Spring"~""
"M50"~"NGC 2323"~"OPNCL"~"Monoceros"~"7h 3.2m"~"-8°20"~"6.3"~""~""~""~"16"~"Winter"~""
"M51"~"NGC 5194 Whirlpool Galaxy"~"GALXY"~"Canes_Venatici"~"13h 29.9m"~"47°12"~"8.4"~""~""~""~"13.0"~"Spring"~""
"M52"~"NGC 7654"~"OPNCL"~"Cassiopeia"~"23h 24.2m"~"61°35"~"7.3"~""~""~""~"13"~"Autumn"~""
"M53"~"NGC 5024"~"GLOCL"~"Coma_Berenices"~"13h 12.9m"~"18°10"~"7.6"~""~""~""~"12.6"~"Spring"~""
"M54"~"NGC 6715"~"GLOCL"~"Sagittarius"~"18h 55.1m"~"-30°29"~"7.6"~""~""~""~"9.1"~"Summer"~""
"M55"~"NGC 6809"~"GLOCL"~"Sagittarius"~"19h 40m"~"-30°58"~"6.3"~""~""~""~"19"~"Summer"~""
"M56"~"NGC 6779"~"GLOCL"~"Lyra"~"19h 16.6m"~"30°11"~"8.3"~""~""~""~"7.1"~"Summer"~""
"M57"~"NGC 6720 Ring Nebula"~"PLNNB"~"Lyra"~"18h 53.6m"~"33°2"~"8.8"~""~""~""~"1.5"~"Summer"~""
"M58"~"NGC 4579"~"GALXY"~"Virgo"~"12h 37.7m"~"11°49"~"9.7"~""~""~""~"7.1"~"Spring"~""
"M59"~"NGC 4621"~"GALXY"~"Virgo"~"12h 42m"~"11°39"~"9.6"~""~""~""~"6.1"~"Spring"~""
"M60"~"NGC 4649"~"GALXY"~"Virgo"~"12h 43.7m"~"11°33"~"8.8"~""~""~""~"9.2"~"Spring"~""
