UM,NGC,CONSTELLATION,MAG,VIEW,Ang. Size (Amin), Rt. Asc., Declin., TYPE, OBJECT REMARKS
NGC 21 ,NGC 29 ,ANDROMEDA,12.7,autumn,1.5,00 10.8,+33 21,"Galaxy -  , , ,pB;pL;E 0 degrees ,H II 853;UGC 100 "
UGC 114 ,NGC 39 ,ANDROMEDA,13.5,autumn,1.1,00 12.3,+31 04,"Galaxy -  , , ,vF;pS;R ,H III 861 "
UGC 120 ,NGC 43 ,ANDROMEDA,12.6,autumn,1.6,00 13.0,+30 55,"Galaxy -  , , ,eF;* 12 np 45'' , "
 ,NGC 44 ,ANDROMEDA,99.9,autumn,,00 13.2,+31 17,"2 Star -  , , ,eF;vS , "
UGC 133 ,NGC 48 ,ANDROMEDA,13.6,autumn,1.6,00 14.0,+48 14,"Galaxy -  , , ,eef;pL;R;v diffic , "
UGC 136 ,NGC 49 ,ANDROMEDA,13.7,autumn,1.1,00 14.4,+48 15,"Galaxy -  , , ,eeF;S;R;2nd of 3 ,NGC 51 group;in group of 6;NGC 51 the brightest "
UGC 138 ,NGC 51 ,ANDROMEDA,13.1,autumn,1.7,00 14.6,+48 15,"Galaxy -  , , ,pF;pS;R;bM ,brightest in group of 6 including NGC 49 and NGC 48 "
V V 166 ,NGC 67 ,ANDROMEDA,14.2,autumn,0.3,00 18.2,+30 04,"Galaxy -  , , ,eF;vS;R , "
ZwG 499.104 ,NGC 67A ,ANDROMEDA,15.7,autumn,0.4,00 18.2,+30 03,"Galaxy -  , , , , "
UGC 170 ,NGC 68 ,ANDROMEDA,12.9,autumn,1.2,00 18.3,+30 04,"Galaxy -  , , ,eF;L;3 or 4 st+neb ,H V 16;In compact group "
MCG 5- 1- 66 ,NGC 69 ,ANDROMEDA,14.8,autumn,0.5,00 18.3,+30 02,"Galaxy -  , , ,eF;vS;R , "
UGC 174;IC 1539 ,NGC 70 ,ANDROMEDA,13.5,autumn,1.6,00 18.4,+30 05,"Galaxy -  , , ,eF;vS;R;bet 2 F st ,In compact group w NGC 68 and 71 "
UGC 173;V V 166 ,NGC 71 ,ANDROMEDA,13.2,autumn,1.5,00 18.4,+30 04,"Galaxy -  , , ,eF;vS;R ,In compact group "
UGC 176;V V 166 ,NGC 72 ,ANDROMEDA,13.5,autumn,1.1,00 18.5,+30 02,"Galaxy -  , , ,eF;vS;R ,In compact group "
MCG 5- 1- 70 ,NGC 72A ,ANDROMEDA,14.7,autumn,0.3,00 18.6,+30 02,"Galaxy -  , , , ,1' south of NGC 72;compact "
MCG 5- 1- 71 ,NGC 74 ,ANDROMEDA,16,autumn,0.8,00 18.8,+30 04,"Galaxy -  , , ,eF;S;E;last of 6 , "
UGC 185 ,NGC 76 ,ANDROMEDA,13,autumn,1,00 19.6,+29 56,"Galaxy -  , , ,vF;S;bM ,compact;complex nucl region "
MCG 4- 2- 3 ,NGC 79 ,ANDROMEDA,15,autumn,0.5,00 21.0,+22 34,"Galaxy -  , , ,vF;S;vlbM ,Compact "
UGC 203 ,NGC 80 ,ANDROMEDA,12.1,autumn,2.2,00 21.2,+22 21,"Galaxy -  , , ,F;S;R;psbM ,Brightest in group "
NPM1G +22 016 ,NGC 81 ,ANDROMEDA,16.4,autumn,0.2,00 21.2,+22 23,"Galaxy -  , , ,eeF;sp NGC 83 , "
 ,NGC 82 ,ANDROMEDA,14,autumn,,00 21.3,+22 28,"1 Star -  , , ,eF;stellar , "
UGC 206 ,NGC 83 ,ANDROMEDA,12.5,autumn,1.3,00 21.4,+22 26,"Galaxy -  , , ,E;biN;3 B st nr ,NGC 80 group "
 ,NGC 84 ,ANDROMEDA,17,autumn,,00 21.4,+22 37,"1 Star -  , , ,eF;st & neb , "
NGC 85 ,NGC 85A ,ANDROMEDA,15.5,autumn,0.5,00 21.4,+22 31,"Galaxy -  , , ,eeF;cL;R , "
IC 1546 ,NGC 85B ,ANDROMEDA,15.5,autumn,0.9,00 21.5,+22 30,"Galaxy -  , , , , "
MCG 4- 2- 9 ,NGC 86 ,ANDROMEDA,15,autumn,0.7,00 21.5,+22 33,"Galaxy -  , , ,eF;vS;lbM , "
UGC 208 ,NGC 90 ,ANDROMEDA,14.5,autumn,1.9,00 21.9,+22 24,"Galaxy -  , , ,vF;lE , "
 ,NGC 91 ,ANDROMEDA,13.7,autumn,,00 21.9,+22 22,"1 Star -  , , ,vF;vS;* 13 sp ,Distorted;NGC 80 group "
UGC 209 ,NGC 93 ,ANDROMEDA,13.3,autumn,1.4,00 22.1,+22 25,"Galaxy -  , , ,vF;vS ,Part of NGC 80 group "
ZwG 479. 17 ,NGC 94 ,ANDROMEDA,15.5,autumn,0.4,00 22.2,+22 29,"Galaxy -  , , ,eF;vS ,Northern of 2 "
MCG 4- 2- 14 ,NGC 96 ,ANDROMEDA,17,autumn,0.7,00 22.3,+22 33,"Galaxy -  , , ,vF;S;vlbM , "
UGC 216 ,NGC 97 ,ANDROMEDA,12.3,autumn,1.5,00 22.5,+29 45,"Galaxy -  , , ,F;vS;R;gbM ,Compact "
UGC 246 ,NGC 108 ,ANDROMEDA,12.1,autumn,2,00 26.0,+29 13,"Galaxy -  , , ,pF;pL;R;pslbM ,H III 148 "
UGC 251 ,NGC 109 ,ANDROMEDA,13.7,autumn,1.1,00 26.2,+21 48,"Galaxy -  , , ,vF;S;3 st nr ,f of 2 "
UGC 255 ,NGC 112 ,ANDROMEDA,13.5,autumn,1,00 26.8,+31 42,"Galaxy -  , , ,eF;vS;R , "
UGC 311 ,NGC 140 ,ANDROMEDA,13.2,autumn,1.5,00 31.3,+30 47,"Galaxy -  , , ,vF;S;R;gbM , "
UGC 332 ,NGC 149 ,ANDROMEDA,13.7,autumn,1.2,00 33.8,+30 43,"Galaxy -  , , ,vF;vS;R;gbM*14;*12 sp ,Compact "
PGC 2121 ,AND III ,ANDROMEDA,15,autumn,2.0,00 35.4,+36 31,"Galaxy -  , , , ,Andromeda Dwarf;Member Local Group "
UGC 356 ,NGC 160 ,ANDROMEDA,12.6,autumn,2.9,00 36.1,+23 57,"Galaxy -  , , ,vF;vS;stell;*8;17 degrees;4' ,H III 476;UGC 356 "
 ,NGC 162 ,ANDROMEDA,99.9,autumn,,00 36.2,+23 58,"1 Star -  , , ,eF;stellar;NGC 160 sp , "
UGC 365;Arp 282 ,NGC 169 ,ANDROMEDA,13.2,autumn,1.8,00 36.9,+23 59,"Galaxy -  , , ,F;pL;D or biN;*6 nf 4' ,Contact P w IC 1559 "
