,NGC 0198,Psc,13.2,,1.2x1.2,00 39 22.9,+02 47 52,GX,"F,S,vgbM",II 857
,NGC 0200,Psc,12.6,,1.9x1.0,00 39 34.8,+02 53 15,GX,"pB,S,vgbM",II 858
,NGC 0201,Cet,12.9,,1.8x1.4,00 39 34.9,+00 51 35,GX,"vF,cL,E,vglbM",III 873
,NGC 0205,And,8.1,,21.9x11.0,00 40 22.0,+41 41 07,GX,"vB,vL,mE 165 degrees,vgvmbM",V 18
,NGC 0206,And,,,4.2x1.5,00 40 31.3,+40 44 22,C+N,"vF,vL,mE 0 degrees",V 36
,NGC 0210,Cet,10.9,,5.0x3.3,00 40 34.8,-13 52 28,GX,"B,pS,R,psbM,r,* 11 p 2'",II 452
,NGC 0213,Psc,13.3,,1.7x1.4,00 41 10.0,+16 28 09,GX,"F,S,bet 2 S st",III 200
,NGC 0216,Cet,13.2,,1.8x0.7,00 41 27.1,-21 02 44,GX,"eF,vS,lE",III 244
,NGC 0214,And,12.3,,2.2x1.7,00 41 28.0,+25 29 58,GX,"pF,pS,gvlbM,R",II 209
,NGC 0217,Cet,12.7,,2.5x0.7,00 41 33.8,-10 01 20,GX,"F,S,lE 90 degrees,glbM",II 480
,NGC 0227,Cet,12.1,,1.6x1.3,00 42 36.8,-01 31 43,GX,"F,pL,lbM",II 444
,NGC 0234,Psc,12.5,,1.6x1.6,00 43 32.4,+14 20 33,GX,"F,pS,ilE,bM",II 245
,NGC 0233,And,12.4,,1.7x1.5,00 43 36.6,+30 35 13,GX,"F,vS,R,lbM",III 149
,NGC 0225,Cas,7,,12,00 43.5,+61 47,OC,"Cl,L,lC,st 9...10",VIII 78
,NGC 0244,Cet,12.9,,1.5x0.9,00 45 46.7,-15 35 50,GX,"vF,S,iR,r,* 10 s 5'",III 485
,NGC 0245,Cet,12.2,,1.4x1.2,00 46 05.5,-01 43 22,GX,"F,pS,iF,er",II 445
,NGC 0246,Cet,10.4,,"240""x210""",00 47 03.3,-11 52 19,PN,"vF, L, 4 st in dif neb",V 25
,NGC 0247,Cet,9.1,,21.4x6.9,00 47 08.2,-20 45 37,GX,"F,eL,vmE 172 degrees",V 20
,NGC 0253,Scl,7.2,,27.5x6.8,00 47 33.1,-25 17 17,GX,"!!vvB,vvL,vmE 54 degrees,gbM",V 1
,NGC 0255,Cet,11.9,,3.0x2.5,00 47 47.1,-11 28 07,GX,"F,pS,R,gbM",II 472
,NGC 0251,Psc,13.2,,2.4x1.9,00 47 54.0,+19 35 48,GX,"vF,S,R,lbM,* inv,2 vS st f",III 204
,NGC 0252,And,12.4,,1.5x1.1,00 48 01.5,+27 37 26,GX,"pB,S,R,pmbM,r,** p",II 609
,NGC 0257,Psc,12.6,,1.9x1.3,00 48 01.6,+08 17 48,GX,"PL,lE,gbM,r",II 863
,NGC 0259,Cet,12.5,,2.3x0.7,00 48 03.2,-02 46 31,GX,"F,S,E 135 degrees,lbM",II 703= II 621
,NGC 0266,Psc,11.6,,3.0x2.9,00 49 47.8,+32 16 40,GX,"pB,pS,lE,psbM,r,* 8 sf 4'",III 153
,NGC 0268,Cet,13.1,,1.6x1.1,00 50 09.4,-05 11 38,GX,"vF,pS,ilE,r",III 463
,NGC 0270,Cet,12.1,,2.0x1.7,00 50 32.4,-08 39 07,GX,"pF,vS,iR,pgbM",III 955
,NGC 0271,Cet,12,,2.1x1.7,00 50 41.9,-01 54 37,GX,"pF,S,lE,psbM,* 8 f 5 sec.",II 446
,NGC 0273,Cet,12.9,,2.2x0.7,00 50 48.4,-06 53 08,GX,"vF,vS",III 430
,NGC 0274,Cet,11.8,,1.5x1.5,00 51 01.9,-07 03 28,GX,"pB,pS,smbM,np of 2",III 429
,NGC 0278,Cas,10.8,,2.1x2.0,00 52 04.3,+47 33 02,GX,"cB,pL,R,2 st 10 nr",I 159
,NGC 0279,Cet,12.7,,1.6x1.2,00 52 08.9,-02 13 07,GX,"vF,S,iR,bM,stellar",III 439
,NGC 0280,And,13.2,,1.7x1.1,00 52 29.9,+24 21 01,GX,"eF,S,R",III 477
,NGC 0288,Scl,8.1,,13.8,00 52 47.4,-26 35 24,GC,"B,L,lE,st 12...16",VI 20
,NGC 0296,Psc,12.6,,2.0x0.8,00 55 07.6,+31 32 32,GX,"F,LF,* 10 nf 2'",II 214
,NGC 0315,Psc,11.2,,3.2x2.0,00 57 48.8,+30 21 09,GX,"pB,pL,R,gbM,* 9 nf 3'",II 210
,NGC 0337,Cet,11.6,,2.9x1.8,00 59 50.3,-07 34 43,GX,"pF,L,E,glbM,* 10 f 21 sec",II 433
,NGC 0352,Cet,12.6,,2.4x0.9,01 02 09.2,-04 14 45,GX,"pF,S,iE,* 8 f 97 sec",III 191
,NGC 0357,Cet,12,,2.4x1.7,01 03 21.9,-06 20 22,GX,"F,S,iR,sbM,* 14 nf 20''",II 434
,NGC 0379,Psc,12.9,,1.4x0.8,01 07 15.7,+32 31 13,GX,"pF,S,R,bM",II 215
,NGC 0380,Psc,12.5,,1.3x1.3,01 07 17.6,+32 28 59,GX,"pF,S,R,sbM",II 216
,NGC 0383,Psc,12.4,,1.4x1.4,01 07 24.9,+32 24 45,GX,"pF,pL,R,gbM,nf Dneb",II 217
,NGC 0392,Psc,12.7,,1.2x0.9,01 08 23.5,+33 08 00,GX,"F,vS,R,mbM,bet 2 st",II 218
,NGC 0393,And,12.5,,1.7x1.4,01 08 37.0,+39 38 39,GX,"F,vS,vlE,gbM,4 S st nr",I 54
,NGC 0381,Cas,,,6,01 08.3,+61 35,OC,"Cl,pC",VIII 64
,NGC 0404,And,10.3,,3.5x3.5,01 09 26.9,+35 43 05,GX,"pB,cL,R,gbM",II 224
,NGC 0407,Psc,13.4,,1.7x0.4,01 10 36.5,+33 07 35,GX,"vF,vS,sp of 2",II 219
,NGC 0410,Psc,11.5,,2.4x1.3,01 10 58.9,+33 09 07,GX,"pB,pL,nf of 2",II 220
,NGC 0420,Psc,12.1,,2.0x2.0,01 12 09.6,+32 07 24,GX,"F,pS,R,bM",III 154
,NGC 0426,Cet,12.9,,1.4x1.0,01 12 48.6,-00 17 25,GX,"vF,vS,R",III 592
,NGC 0428,Cet,11.5,,4.1x3.1,01 12 55.6,+00 58 54,GX,"F,L,R,bM,er",II 622
,NGC 0429,Cet,13.4,,1.4x0.3,01 12 57.4,-00 20 43,GX,"vF,vS",III 593
,NGC 0421,Psc,,,,01 12.2,+32 07,NF,"eF,vS",III 155
,NGC 0430,Cet,12.5,,1.3x1.1,01 13 00.0,-00 15 09,GX,"F,vS,R,vsbM*",II 447
,NGC 0450,Cet,11.5,,3.1x2.3,01 15 30.4,-00 51 40,GX,"vF,L",III 440
,NGC 0436,Cas,8.8,,6,01 15 58,+58 49.0,OC,"Cl,S,iF,pC",VII 45
,NGC 0459,Psc,14.4,,1.0x0.9,01 18 08.1,+17 33 44,GX,eF,III 205
,NGC 0467,Psc,11.9,,1.7x1.7,01 19 10.1,+03 18 02,GX,"pB,pL,R,gbM",I 108
,NGC 0457,Cas,6.4,,13,01 19 33,+58 17.5,OC,"Cl,B,L,pRi,*7,8,10",VII 42
,NGC 0470,Psc,11.8,,2.8x1.7,01 19 44.8,+03 24 36,GX,"pB,L,iR",III 250
,NGC 0473,Psc,12.5,,1.7x1.1,01 19 55.1,+16 32 41,GX,"eF,S",III 206
,NGC 0474,Psc,11.5,,7.1x6.3,01 20 06.7,+03 24 56,GX,"pB,S,smbM,F of 2",III 251
,NGC 0477,And,13,,2.2x1.2,01 21 20.3,+40 29 17,GX,"vF,pS,vlE,vglbM",III 577
,NGC 0488,Psc,10.3,,5.2x3.9,01 21 46.8,+05 15 25,GX,"pB,L,R,svmbM,*8F10'",III 252
,NGC 0493,Cet,12.5,,3.4x1.0,01 22 09.1,+00 56 47,GX,"vF,L,mE60,lbM",III 594
,NGC 0495,Psc,12.9,,1.3x0.8,01 22 55.9,+33 28 18,GX,"vF,S,1st of 3",III 156
,NGC 0499,Psc,12.1,,1.6x1.3,01 23 11.5,+33 27 37,GX,"pB,pL,R,3rd of 3",III 158
,NGC 0496,Psc,13.3,,1.6x0.9,01 23 11.6,+33 31 48,GX,"vF,vS,2nd of 3",III 157
,NGC 0507,Psc,11.2,,3.1x3.1,01 23 40.0,+33 15 22,GX,"vF,pL,R,bM,s of 2",III 159
,NGC 0508,Psc,13.1,,1.3x1.3,01 23 40.6,+33 16 51,GX,"vF,S,N of 2",III 160
,NGC 0514,Psc,11.6,,3.5x2.8,01 24 03.9,+12 55 03,GX,"F,L,lE,vglbM,**F",II 252
,NGC 0513,And,12.9,,0.7x0.3,01 24 26.8,+33 47 59,GX,"F,S,stellar",III 169
,NGC 0521,Cet,11.7,,3.2x2.9,01 24 33.8,+01 43 53,GX,"F,pL,R,gbM",II 461
,NGC 0520,Psc,11.4,,4.5x1.8,01 24 34.4,+03 47 42,GX,"F,cL,E137",III 253
,NGC 0515,Psc,13,,1.4x1.1,01 24 38.6,+33 28 23,GX,"pF,vS,R,np of 2",III 167
,NGC 0517,Psc,12.4,,2.0x1.0,01 24 43.8,+33 25 47,GX,"pF,R,stellar,sf of 2",III 168
,NGC 0524,Psc,10.3,,2.8x2.8,01 24 47.8,+09 32 19,GX,"vB,pL,mbM,4S* nr",I 151
,NGC 0532,Psc,12.9,,2.5x0.8,01 25 17.3,+09 15 51,GX,"vF,pL,E30,bM",III 556
,NGC 0523,And,12.7,,2.5x0.7,01 25 20.8,+34 01 30,GX,"Dneb,vF,vS",III 170?
,NGC 0537,And,,,,01 25 20.8,+34 01 30,Dup,stellar (?=N523),III 170
,NGC 0533,Cet,11.4,,3.8x2.3,01 25 31.4,+01 45 33,GX,"pB,pL,R,gbM",II 462
,NGC 0545,Cet,12.2,,2.4x1.6,01 25 59.1,-01 20 25,GX,"stellar,p of Dneb",II 448
,NGC 0547,Cet,12.2,,1.3x1.3,01 26 00.7,-01 20 43,GX,"stellar,f of Dneb",II 449
,NGC 0552,Psc,,,,01 26 10.1,+33 24 21,*,"vS,stellar,p of 2",III 172
,NGC 0553,Psc,14,,0.9x0.3,01 26 12.6,+33 24 19,GX,"vS,stellar,f of 2",III 173
,NGC 0536,And,12.4,,3.0x1.1,01 26 21.7,+34 42 13,GX,"pB,pL,gbM,f of 2",III 171
,NGC 0550,Cet,12.7,,1.5x0.6,01 26 42.5,+02 01 20,GX,"F,S,E90,bM,r",II 463
,NGC 0560,Cet,13,,1.9x0.6,01 27 25.4,-01 54 47,GX,"vF,vS,lE,p of 2",III 441
,NGC 0551,And,12.7,,1.8x0.8,01 27 40.6,+37 10 59,GX,"vF,S,E,vglbM,*13 nr",III 560
,NGC 0564,Cet,12.5,,1.4x1.2,01 27 48.2,-01 52 46,GX,"vF,vS,iF,f of 2",III 442
,NGC 0559,Cas,9.5,,4,01 29 34,+63 18.2,OC,"Cl,B,pL,pRi",VII 48
,NGC 0584,Cet,10.5,,4.2x2.3,01 31 20.7,-06 52 06,GX,"vB,pL,R,mbM,p of 2",I 100
,NGC 0586,Cet,13.2,,1.6x0.8,01 31 37.0,-06 53 38,GX,"vF,vS,R",III 431
,NGC 0596,Cet,10.9,,3.2x2.1,01 32 51.9,-07 01 54,GX,"pB,R,bM,R,*6f12'", II 4
,NGC 0599,Cet,13.7,,1.7x1.4,01 32 53.7,-12 11 28,GX,"F,S,iF,eR",II 473
,NGC 0600,Cet,12.4,,3.3x2.8,01 33 05.3,-07 18 43,GX,eeF,III 432
,NGC 0598,Tri,5.7,,70.8x41.7,01 33 50.9,+30 39 37,GX,"eB,eL,R,vgbMN",V 17
,NGC 0613,Scl,10.1,,5.5x4.2,01 34 17.5,-29 24 58,GX,"vB,vL,vmE118,sbM,* nf",I 281
,NGC 0604,Tri,,,,01 34 31.9,+30 47 13,M33-KNT,"B,vS,R,vvlBM",III 150
,NGC 0615,Cet,11.6,,3.6x1.4,01 35 05.6,-07 20 27,GX,"pB,pL,ilE,gbM,*8 np 10",II 282
,NGC 0624,Cet,12.8,,1.7x1.0,01 35 51.0,-10 00 10,GX,"eF,S,am vS st",III 471
,NGC 0614,Tri,12.7,,1.4x1.4,01 35 52.3,+33 40 55,GX,"pF,psbM,stellar",III 174
,NGC 0622,Cet,12.9,,1.8x1.3,01 36 00.1,+00 39 49,GX,"eF,pL,dif",III 454
,NGC 0636,Cet,11.5,,2.8x2.1,01 39 06.5,-07 30 46,GX,"pB,vS,R,mbM,R",II 283
,NGC 0651,Per,10.1,,,01 42 21.9,+51 34 49,PN,"vB,f of Dneb",I 193
,NGC 0660,Psc,11.2,,8.3x3.2,01 43 01.7,+13 38 35,GX,"pB,pL,E,bM,r",II 253
,NGC 0637,Cas,8.2,,4,01 43 03,+64 02.2,OC,"Cl,pS,B & vF stars",VII 49
,NGC 0654,Cas,6.5,,5,01 43 59,+61 53.0,OC,"Cl,iF,Ri,1*6.7m",VII 46
,NGC 0661,Tri,12.2,,1.7x1.4,01 44 14.6,+28 42 22,GX,"F,S,R,bM,r",II 610
,NGC 0659,Cas,7.9,,5,01 44 23,+60 40.2,OC,"Cl,lRi,st B",VIII 65
,NGC 0665,Psc,12.1,,2.4x1.6,01 44 56.1,+10 25 22,GX,"F,S,lE,bM,r",II 588
,NGC 0663,Cas,7.1,,16,01 46 16,+61 13.1,OC,"Cl,B,L,eRi,st pL",VI 31
,NGC 0670,Tri,12.7,,2.0x1.0,01 47 24.9,+27 53 09,GX,"F,S,lE",II 611
,NGC 0672,Tri,10.9,,7.2x2.6,01 47 53.9,+27 25 56,GX,"F,pL,mE80",I 157
,NGC 0673,Ari,12.6,,2.1x1.7,01 48 22.5,+11 31 18,GX,"pF,pL,E,lbM,*11 nf 3'",II 589
,NGC 0686,For,12.4,,1.8x1.4,01 48 56.1,-23 47 54,GX,"vF,vS,R,gbM,er,2* nr",III 459
,NGC 0676,Psc,9.6,,4.0x1.2,01 48 57.3,+05 54 24,GX,"vF,E161,sbM*9",IV 42
,NGC 0682,Cet,12.7,,1.4x1.1,01 49 04.5,-14 58 29,GX,"cF,S,R,gvlbM",II 501
,NGC 0681,Cet,12,,2.6x1.6,01 49 10.7,-10 25 35,GX,"pF,cL,R,glbM,S*p90''",II 481
,NGC 0678,Ari,12.2,,4.5x0.8,01 49 24.8,+21 59 51,GX,"pB,S,iR,mbM,p of 2",II 228
,NGC 0679,And,12.3,,2.1x2.1,01 49 43.7,+35 47 08,GX,"F,stellar",III 175
,NGC 0680,Ari,11.9,,1.9x1.6,01 49 47.3,+21 58 16,GX,"pB,S,iR,mbM,f of 2",II 229
,NGC 0684,Tri,12.4,,3.2x0.6,01 50 14.0,+27 38 48,GX,"F,vlE,*13f100''",II 612
,NGC 0693,Psc,12.4,,2.1x1.0,01 50 30.9,+06 08 42,GX,"pF,S,E90,vglbM,*10 nf",II 859
,NGC 0687,And,12.3,,1.4x1.4,01 50 33.2,+36 22 15,GX,"vF,stellar",III 561
,NGC 0691,Ari,11.4,,3.5x2.6,01 50 41.7,+21 45 35,GX,"F,cL,vglbM",II 617
,NGC 0701,Cet,12.2,,2.5x1.2,01 51 03.7,-09 42 10,GX,"F,pL,E,vgvlbM,r",I 62
,NGC 0695,Ari,12.8,,0.8x0.7,01 51 14.2,+22 34 57,GX,"VS,stellar",II 618
,NGC 0697,Ari,12,,4.5x1.5,01 51 17.4,+22 21 28,GX,"F,cL,E,mbM",III 179
,NGC 0702,Cet,13.1,,1.5x1.1,01 51 19.0,-04 03 17,GX,"eF,vlE 0,*13s90''",III 192
,NGC 0706,Psc,12.5,,1.9x1.4,01 51 50.5,+06 17 48,GX,"F,S,bM,*13n1'",II 596
,NGC 0704,And,13.1,,0.6x0.5,01 52 37.7,+36 07 37,GX,"vF,vS,R,2nd of 4",III 563
,NGC 0703,And,13.3,,1.2x0.9,01 52 39.6,+36 10 17,GX,"vF,vS,R,1st of 4",III 562
,NGC 0705,And,13.6,,1.2x0.3,01 52 41.5,+36 08 39,GX,"vF,vS,R,3rd of 4",III 564
,NGC 0708,And,12.7,,3.0x2.5,01 52 46.4,+36 09 08,GX,"F,pL,bM,4th of 4",III 565
,NGC 0720,Cet,10.2,,4.7x2.4,01 53 00.4,-13 44 20,GX,"cB,pL,lE,psmbM",I 105
,NGC 0718,Psc,11.7,,2.3x2.0,01 53 13.2,+04 11 45,GX,"pB,S,iR,psmbM",II 270
,NGC 0723,Cet,12.4,,1.5x1.3,01 53 45.6,-23 45 28,GX,"pF,vS,R,vgbM",III 460
,NGC 0731,Cet,12.1,,1.7x1.7,01 54 56.1,-09 00 38,GX,"eF,stellar",III 266
,NGC 0741,Psc,11.1,,3.0x2.9,01 56 21.0,+05 37 44,GX,"pF,S,R,p of 2",II 271
,NGC 0748,Cet,12.6,,2.3x1.1,01 56 21.7,-04 28 03,GX,"pF,*9 np",III 193
,NGC 0755,Cet,12.6,,3.4x1.1,01 56 22.5,-09 03 42,GX,"vF,pS,vlE",III 265
,NGC 0742,Psc,14.3,,0.2x0.2,01 56 24.1,+05 37 35,GX,"vF,vS,R,sbM,f of 2",II 272
,NGC 0735,Tri,13.3,,1.8x0.9,01 56 38.0,+34 10 37,GX,"eeF,stellar",III 176
,NGC 0736,Tri,12.1,,1.5x1.5,01 56 40.9,+33 02 37,GX,"pB,R,bM",II 221?
,NGC 0740,Tri,14,,1.6x0.4,01 56 54.9,+33 00 55,GX,"F,L,cE",II 221?
,NGC 0762,Cet,13.5,,1.5x1.2,01 56 57.7,-05 24 11,GX,"vF,S,lE,vglbM",III 464
,NGC 0750,Tri,11.9,,1.7x1.3,01 57 32.4,+33 12 37,GX,"cB,pL,R,P w 751,25''",II 222
,NGC 0752,And,5.7,,50,01 57 48,+37 51.0,OC,"Cl,vvL,Ri,*L & S,C",VII 32
,NGC 0773,Cet,13.2,,1.4x0.7,01 58 52.0,-11 30 53,GX,"cF,pL,E0,glbM",III 468
,NGC 0772,Ari,10.3,,7.2x4.3,01 59 19.8,+19 00 30,GX,"B,cL,R,gbM,r",I 112
,NGC 0774,Ari,13,,1.5x1.2,01 59 34.7,+14 00 29,GX,"vF,stellar",III 214
,NGC 0779,Cet,11.2,,4.0x1.2,01 59 42.3,-05 57 51,GX,"cB,L,mE162,mbM",I 101
,NGC 0781,Ari,13,,1.5x0.4,02 00 09.0,+12 39 22,GX,"eF,stellar",III 215
,NGC 0777,Tri,11.5,,2.5x2.0,02 00 14.9,+31 25 46,GX,"pB,pL,R,glbM",II 223
,NGC 0780,Tri,13.4,,1.6x0.9,02 00 35.2,+28 13 31,GX,"vF,vS,E,3*p",III 583
,NGC 0788,Cet,12.1,,1.9x1.4,02 01 06.4,-06 48 57,GX,"pF,pS,R,bM",II 435
,NGC 0790,Cet,12.7,,1.3x1.3,02 01 21.6,-05 22 15,GX,"cF,cS,R,bM",III 433
,NGC 0794,Ari,12.7,,1.3x1.1,02 02 29.3,+18 22 23,GX,"vF,cS,stellar",III 207
,NGC 0797,And,12.6,,1.6x1.3,02 03 28.0,+38 07 01,GX,"vF,S,iR,sbM,* nr",III 566
,NGC 0803,Ari,12.6,,3.0x1.3,02 03 44.7,+16 01 52,GX,"vF,S,iR,glbM,*10p",III 208
,NGC 0807,Tri,12.5,,1.8x1.3,02 04 55.7,+28 59 16,GX,"vF,vS,iR,bet 2* n&sp",III 151
,NGC 0821,Ari,10.7,,2.6x1.6,02 08 21.1,+10 59 41,GX,"pB,vS,vlE,svmbM,* np",I 152
,NGC 0818,And,12.5,,3.0x1.3,02 08 44.5,+38 46 38,GX,"pB,cL,lE,mbM",II 604
,NGC 0827,Cet,12.7,,2.2x0.8,02 08 56.3,+07 58 17,GX,"vF,S,E,bM,am st",III 227
,NGC 0833,Cet,12.7,,1.5x0.7,02 09 20.8,-10 07 59,GX,"F,S,R,1st of 4",II 482
,NGC 0835,Cet,12.1,,1.3x1.0,02 09 24.6,-10 08 10,GX,"F,S,R,2nd of 4",II 483
,NGC 0838,Cet,13,,1.1x0.9,02 09 38.4,-10 08 47,GX,"vF,vS,R,3rd of 4",II 484
,NGC 0839,Cet,13.1,,1.4x0.7,02 09 42.7,-10 11 01,GX,"vF,pS,R,4th of 4",II 485
