,NGC 0182,PISCIS AUSTRINUS,12.4,autumn,2.6,00 38 12.4,+02 43 43,"Galaxy - vF,S,iR,vgbM,III 870 "
,NGC 0185,CANIS MAJOR,9.2,winter,15.4,00 38 57.2,+48 20 15,"Galaxy - pB,vL,iR,vgmbM,r,II 707 "
,NGC 0191,CARINA,13.3,winter,2.0,00 38 59.3,-09 00 09,"Galaxy - pB,pL,iE 0 degrees,II 479 "
,NGC 0192,CARINA,12.6,winter,2.1,00 39 13.5,+00 51 49,"Galaxy - F,pS,pmE,bM,III 872 "
,NGC 0196,CARINA,12.9,winter,1.4,00 39 17.8,+00 54 46,"Galaxy - F,pS,R,psmbM,II 860 "
,NGC 0194,PISCIS AUSTRINUS,12.2,autumn,2.1,00 39 18.4,+03 02 14,"Galaxy - pB,S,R,vgbM,II 856 "
,NGC 0193,PISCIS AUSTRINUS,12.2,autumn,1.8,00 39 18.5,+03 19 52,"Galaxy - F,L,p of 2,* 15 close sp,III 595 "
,NGC 0198,PISCIS AUSTRINUS,13.2,autumn,1.7,00 39 22.9,+02 47 52,"Galaxy - F,S,vgbM,II 857 "
,NGC 0200,PISCIS AUSTRINUS,12.6,autumn,2.1,00 39 34.8,+02 53 15,"Galaxy - pB,S,vgbM,II 858 "
,NGC 0201,CARINA,12.9,winter,2.3,00 39 34.9,+00 51 35,"Galaxy - vF,cL,E,vglbM,III 873 "
,NGC 0205,ANDROMEDA,8.1,autumn,24.5,00 40 22.0,+41 41 07,"Galaxy - vB,vL,mE 165 degrees,vgvmbM,V 18 "
,NGC 0206,ANDROMEDA,,autumn,4.5,00 40 31.3,+40 44 22,"Nebula Cluster - vF,vL,mE 0 degrees,V 36 "
,NGC 0210,CARINA,10.9,winter,6.0,00 40 34.8,-13 52 28,"Galaxy - B,pS,R,psbM,r,* 11 p 2',II 452 "
,NGC 0213,PISCIS AUSTRINUS,13.3,autumn,2.2,00 41 10.0,+16 28 09,"Galaxy - F,S,bet 2 S st,III 200 "
,NGC 0216,CARINA,13.2,winter,1.9,00 41 27.1,-21 02 44,"Galaxy - eF,vS,lE,III 244 "
,NGC 0214,ANDROMEDA,12.3,autumn,2.8,00 41 28.0,+25 29 58,"Galaxy - pF,pS,gvlbM,R,II 209 "
,NGC 0217,CARINA,12.7,winter,2.6,00 41 33.8,-10 01 20,"Galaxy - F,S,lE 90 degrees,glbM,II 480 "
,NGC 0227,CARINA,12.1,winter,2.1,00 42 36.8,-01 31 43,"Galaxy - F,pL,lbM,II 444 "
,NGC 0234,PISCIS AUSTRINUS,12.5,autumn,2.3,00 43 32.4,+14 20 33,"Galaxy - F,pS,ilE,bM,II 245 "
,NGC 0233,ANDROMEDA,12.4,autumn,2.3,00 43 36.6,+30 35 13,"Galaxy - F,vS,R,lbM,III 149 "
,NGC 0225,CANIS MAJOR,7,winter,17.0,00 43.5,+61 47,"Open Cluster - Cl,L,lC,st 9...10,VIII 78 "
,NGC 0244,CARINA,12.9,winter,1.7,00 45 46.7,-15 35 50,"Galaxy - vF,S,iR,r,* 10 s 5',III 485 "
,NGC 0245,CARINA,12.2,winter,1.8,00 46 05.5,-01 43 22,"Galaxy - F,pS,iF,er,II 445 "
,NGC 0246,CARINA,10.4,winter,15.5,00 47 03.3,-11 52 19,"Planetary Nebula - vF, L, 4 st in dif neb,V 25 "
,NGC 0247,CARINA,9.1,winter,22.5,00 47 08.2,-20 45 37,"Galaxy - F,eL,vmE 172 degrees,V 20 "
,NGC 0253,SAGITTA,7.2,summer,28.3,00 47 33.1,-25 17 17,"Galaxy - !!vvB,vvL,vmE 54 degrees,gbM,V 1 "
,NGC 0255,CARINA,11.9,winter,3.9,00 47 47.1,-11 28 07,"Galaxy - F,pS,R,gbM,II 472 "
